anio_c,pais_c,population,population_int,population_nat,poor_int_pop,poor31_int_pop,poor_national_pop,poor_e_national_pop,poor_int_delta_pop,poor31_int_delta_pop,poor_national_delta_pop,poor_e_national_delta_pop,poor_national_new_pop,poor_e_national_new_pop,national_recovery,poor_national_recovery,poor_e_national_recovery,poor_national_new_recovery,poor_e_national_new_recovery,poor_int,poor_int_delta,poor31_int,poor31_int_delta,poor_national,poor_national_delta,poor_e_national,poor_e_national_delta,shock_weight,zona_c,category,shock_component,shock_population,gdp_growth
2017,SUR,494372.2035036087,442423.2075777054,494372.2035036087,237259.42736196518,146482.05988121033,129338.43584489822,8341.4700050354,233402.70212316513,142790.1365852356,126539.51082658768,8341.4700050354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362725627820821,0.5275552867153137,0.3310903618352408,0.32274558418176225,0.2616215776863638,0.2559600032724412,0.016872853987177115,0.016872853987177115,0.0,,,Granos_panes_cereales,,IMF
2015,TTO,1370327.9436531067,895788.9854774475,895788.9854774475,101598.74156570435,35306.4885635376,101598.74156570435,35306.4885635376,90817.5061302185,33907.39694213867,90817.5061302185,33907.39694213867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11341816344342873,0.10138270016996646,0.039413845376452754,0.03785199136386605,0.11341816344342873,0.10138270016996646,0.039413845376452754,0.03785199136386605,0.0,,,Granos_panes_cereales,,IMF
2020,URY,3530882.831489086,3493132.1490631104,3493132.1490631104,333549.2358431816,123476.6556968689,611005.5813837051,168771.57465457916,317520.03670835495,116377.90245914459,574641.8751420975,158729.3182425499,0.0,0.0,1.9393824136290127e-09,2.748456684357175e-10,1.0878564971570715e-10,0.0,0.0,0.09548715067440049,0.09089837519989523,0.03534840665274758,0.03331620376582609,0.17491625146434336,0.16450619404600011,0.04831525618057285,0.04544039889390458,0.0,,,Granos_panes_cereales,,IMF
2021,VEN,28704946.98902893,27887530.764175415,27887530.764175415,25287458.12391281,23258676.789611816,25287458.12391281,23258676.789611816,25235574.611110687,23190008.791389465,25235574.611110687,23190008.791389465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9067657634428258,0.9049053078420461,0.8340170733039632,0.8315547542552447,0.9067657634428258,0.9049053078420461,0.8340170733039632,0.8315547542552447,0.0,,,Granos_panes_cereales,,IMF
2020,ARG,28644818.0,25759747.0,20834543.0,3117451.0,1600371.0,9345989.0,2615991.0,3029761.0,1366209.0,8957992.0,2233623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12102024915073895,0.11761610081030686,0.06212681359021111,0.0530365845596232,0.4485814255681058,0.42995865088089524,0.1255602774680491,0.10720767909332113,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2014,BHS,257918.38403320312,197818.13944244385,197818.13944244385,10644.299877166748,6016.8191566467285,10644.299877166748,6016.8191566467285,9492.196933746338,4944.536720275879,9492.196933746338,4944.536720275879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05380851274391729,0.04798446169042116,0.030415912178758265,0.02499536561314447,0.05380851274391729,0.04798446169042116,0.030415912178758265,0.02499536561314447,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2007,BLZ,167470.74799919128,129237.06531143188,129237.06531143188,13453.925010681152,7306.466041564941,13453.925010681152,7306.466041564941,11984.147911071777,7232.895210266113,11984.147911071777,7232.895210266113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10410268121038077,0.09272996011007145,0.056535375698589435,0.05596610533391859,0.10410268121038077,0.09272996011007145,0.056535375698589435,0.05596610533391859,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2007,BLZ,146452.94188690186,111217.50030326843,111217.50030326843,5856.2419719696045,4255.96203994751,5856.2419719696045,4255.96203994751,5732.7950801849365,4050.2172203063965,5732.7950801849365,4050.2172203063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05265575971408074,0.051545800477017754,0.038267017585742635,0.03641708552397099,0.05265575971408074,0.051545800477017754,0.038267017585742635,0.03641708552397099,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,BOL,8244986.011291504,8182785.391044617,8182785.391044617,1144566.3310203552,419056.80128479004,2540734.90328598,592048.6273078918,1096082.3668937683,383092.84928894043,2399386.9323005676,558926.9765052795,0.0,0.0,-1.9317364521174377e-08,-5.78270803609985e-09,-1.6545959087587707e-09,0.0,0.0,0.13987490522151402,0.13394978781838027,0.05121199949144617,0.04681692491999166,0.31049756065539796,0.29322373955041015,0.07235294572870507,0.06830522246336547,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,BOL,3504051.983803749,3487639.4717378616,3487639.4717378616,1907238.8551387787,1187967.069270134,1997765.230093956,1121998.9769887924,1855946.298113823,1156149.7779455185,1960374.5935230255,1081626.2229261398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5468566549364168,0.5321496998624747,0.34062209666361526,0.3314992238487938,0.5728130003926369,0.5620920996590818,0.3217072710872003,0.3101313170960227,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,BRA,29798660.657138824,29175561.970679283,29175561.970679283,11317577.402850151,6081835.346374512,12360530.89903164,3266887.079881668,11257044.880732536,6053005.439064026,12238533.88860035,3254758.9166927338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3879129188402279,0.38583815084849393,0.2084564935711129,0.2074683409747907,0.4236604220838545,0.4194789427158172,0.11197340716743721,0.11155771120925402,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,BRA,181297792.33852196,176870287.1356449,176870287.1356449,29918307.36935234,11942526.831428528,34137112.06642723,5407998.563610077,29841171.53303337,11883358.353027344,33628948.69487572,5394615.893321991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16915394809308737,0.16871783280448713,0.06752138544485765,0.067186855098583,0.1930064829953427,0.19013339798043688,0.03057607160134584,0.030500407845127576,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,CHL,17303587.0,16903223.0,17290642.0,1837266.0,895586.0,1802393.0,703881.0,1787741.0,879104.0,1749480.0,675156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1086932356036479,0.1057633209950552,0.05298315001819476,0.052008069703629894,0.1042409529964243,0.10118074273933843,0.04070878339855744,0.0390474801340517,0.0,1.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
2020,CHL,2242212.0,2208204.0,2241838.0,358441.0,181738.0,309792.0,127351.0,343033.0,180491.0,298151.0,120626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16232241224089802,0.15534479604239462,0.08230127288964244,0.08173656057139649,0.1381866129488393,0.13299399867430206,0.056806513227093125,0.053806742503249565,0.0,0.0,anio_c_pais_c_zona_c,Granos_panes_cereales,,IMF
